publication_uniqueID,articletype,count_authors,Publication Date,Category Normalized Citation Impact
Pub75673,Article,12,2012,28.2638
Pub72863,Article,69,2011,20.4255
Pub55957,Article,5,2007,19.4336
Pub76950,Article,6,2006,11.2527
Pub46525,Article,201,2009,18.2448
Pub99596,Article,8,2004,12.3147
Pub87352,Article,37,2003,8.7842
Pub26913,Article,10,2002,8.3736
Pub98860,Article,4,1999,8.2528
Pub47147,Article,3,1997,8.0332
Pub22383,Article,9,2003,8.5716
Pub81170,Article,25,2008,14.9632
Pub87777,Article,3,1998,9.8263
Pub42561,Article,6,1996,17.2182
Pub73680,Article,9,2003,8.5716
Pub70527,Article,9,2003,7.8436
Pub72768,Article,4,1999,8.057
Pub68864,Article,57,2013,29.1888
Pub17302,Article,3,1996,8.4595
Pub13753,Article,9,1994,9.9164
Pub91197,Review,6,2004,4.7242
Pub87949,Article,131,2010,15.7909
Pub89916,Article,134,2014,36.3044
Pub52191,Article,9,2005,14.4754
Pub65940,Article,4,2001,7.9153
Pub45415,Article,10,2009,13.9825
Pub20693,Article,4,2003,11.3012
Pub41336,Article,10,2005,9.9507
Pub62197,Article,91,2014,46.6575
Pub14380,Article,27,2010,10.8633
Pub60227,Article,4,2000,7.2995
Pub00345,Article,28,2003,7.6364
Pub48861,Article,3,2001,7.3469
Pub03823,Article,5,2007,19.7262
Pub44398,Article,3,1994,8.6313
Pub09682,Article,60,2011,16.4504
Pub27286,Article,3,1999,8.8055
Pub53903,Article,9,2008,10.3982
Pub03842,Article,10,2009,17.2958
Pub45610,Article,7,1996,7.0205
Pub95709,Article,3,1997,11.7108
Pub24206,Article,9,2006,9.0777
Pub80983,Article,2,1998,5.6715
Pub39425,Article,2,2005,10.7655
Pub80347,Article,156,2010,13.2139
Pub16030,Review,3,2003,5.5567
Pub12296,Article,2,1994,9.6071
Pub02958,Article,9,1998,6.3375
Pub91767,Article,9,2013,29.969
Pub26793,Article,40,2005,7.3677
Pub58707,Article,5,1995,23.0682
Pub67324,Article,11,1997,6.4934
Pub50266,Article,6,1997,6.1012
Pub85792,Article,4,2006,24.6893
Pub05730,Article,10,2001,6.4658
Pub71985,Article,9,2010,15.7114
Pub33549,Article,7,1997,6.1012
Pub27819,Article,3,1995,5.749
Pub08508,Article,15,2009,10.9755
Pub70030,Article,13,2010,12.0915
Pub89748,Article,9,1998,7.3623
Pub10030,Review,2,1998,3.3048
Pub71488,Article,4,1999,6.4065
Pub35077,Article,5,2001,7.0094
Pub96541,Article,8,2007,8.7397
Pub99296,Article,10,2005,7.2984
Pub10508,Article,11,1998,4.8837
Pub56618,Article,36,2002,6.0885
Pub91537,Article,7,2001,6.1248
Pub11233,Note,2,1995,16.7534
Pub44478,Article,7,2004,6.8489
Pub80264,Article,15,1997,6.8087
Pub76945,Article,90,2012,16.0121
Pub57375,Article,6,1999,5.5813
Pub39367,Article,4,1995,6.0013
Pub01997,Article,9,2004,5.9452
Pub97394,Article,5,2000,9.7458
Pub72862,Article,2,2008,10.6508
Pub94944,Article,4,1999,5.9826
Pub76933,Article,3,2007,6.4648
Pub44809,Article,4,2000,8.0401
Pub93401,Article,14,2014,33.8477
Pub98791,Article,10,2000,5.7337
Pub70401,Article,6,1996,11.6941
Pub37625,Article,19,2013,17.4932
Pub06863,Article,7,2004,6.2862
Pub19130,Article,2,1999,5.3568
Pub69149,Article,4,1998,4.7702
Pub28850,Article,10,2004,6.8988
Pub45633,Article,5,1999,5.1121
Pub09129,Article,9,2007,7.5654
Pub72258,Article,4,2000,5.5922
Pub24819,Review,3,2001,2.4124
Pub18786,Article,12,2006,8.6499
Pub20052,Article,5,2010,13.3081
Pub73040,Article,6,2001,5.4711
Pub80233,Article,7,2002,5.4153
Pub60288,Article,4,2003,5.9781
Pub28385,Article,9,1999,5.4248
Pub13491,Review,3,2001,3.2046
Pub12641,Article,8,1993,5.0445
Pub92948,Note,15,1995,14.3834
Pub32280,Article,3,1998,5.5185
Pub79068,Article,5,2001,4.7119
Pub55914,Article,6,2002,5.3797
Pub37324,Article,4,1999,4.6044
Pub10841,Article,10,2011,13.4133
Pub42838,Article,4,1999,5.4644
Pub76504,Article,9,2010,14.9274
Pub43368,Article,3,2012,20.9425
Pub96350,Article,6,1999,5.0169
Pub88363,Article,9,2010,9.2197
Pub01932,Review,3,1998,2.6563
Pub57284,Article,6,2009,9.3521
Pub97670,Article,7,1996,5.8273
Pub69452,Review,5,2001,2.8107
Pub91604,Review,4,2012,8.7142
Pub37914,Review,4,2007,3.5736
Pub41242,Article,13,2002,4.1115
Pub64786,Article,3,1999,6.014
Pub06383,Article,2,1999,5.767
Pub51852,Editorial Material,5,1994,15.8107
Pub51324,Article,2,1998,5.1726
Pub70015,Article,2,2000,4.7993
Pub28275,Article,51,2012,13.1075
Pub80550,Article,3,1998,5.4556
Pub54430,Article,7,1999,4.4187
Pub05528,Article,8,2000,4.515
Pub22225,Article,4,2001,4.8461
Pub84187,Article,5,2002,5.0303
Pub17411,Editorial Material,2,1997,20.7657
Pub26796,Article,11,1999,4.5275
Pub08136,Article,2,2000,5.7307
Pub94705,Article,5,2008,8.2091
Pub73900,Article,4,2001,5.519
Pub27206,Review,6,2000,1.9083
Pub80345,Article,9,2008,8.5038
Pub19788,Article,7,2006,6.0456
Pub75283,Article,5,2001,4.6753
Pub91225,Article,11,1999,5.4954
Pub80622,Article,11,2008,8.2555
Pub12911,Article,4,1999,4.3915
Pub79155,Review,3,2001,3.8739
Pub24496,Review,6,1998,2.5184
Pub52984,Article,3,1999,5.166
Pub06236,Article,6,1999,4.8091
Pub10594,Article,3,2004,5.1725
Pub73254,Article,6,1995,4.6832
Pub16377,Article,13,2002,5.5295
Pub96888,Article,39,2009,12.8423
Pub77104,Article,4,2005,5.7728
Pub53138,Article,5,2006,7.031
Pub37112,Article,3,1998,4.5594
Pub26845,Article,71,2012,12.1768
Pub14914,Article,2,1997,7.6868
Pub07737,Article,135,2012,15.6399
Pub32436,Article,5,2001,4.3494
Pub77332,Article,26,2015,64.4978
Pub95918,Article,4,2000,6.0173
Pub13418,Article,8,2000,4.549
Pub24318,Article,4,2001,4.4031
Pub44367,Article,6,1999,4.9459
Pub58067,Article,4,1997,4.6385
Pub81446,Article,5,1994,4.5345
Pub77894,Article,5,1996,4.4661
Pub34966,Article,6,2004,5.094
Pub44983,Article,9,1998,5.3455
Pub16896,Article,27,2009,7.5273
Pub57216,Article,2,1995,4.5281
Pub70944,Review,2,2004,2.2772
Pub28694,Article,3,1996,10.7
Pub69155,Article,4,1995,4.6522
Pub95708,Article,6,1999,5.9616
Pub71998,Article,4,2003,5.0697
Pub09243,Article,28,2010,9.5342
Pub37701,Article,13,2010,10.098
Pub54595,Article,2,1996,4.9499
Pub26828,Article,8,1998,4.4651
Pub87030,Article,8,2000,3.8285
Pub58253,Article,5,1996,4.5029
Pub17073,Article,4,1999,4.1164
Pub24085,Article,5,1997,3.848
Pub10552,Article,3,1998,4.0057
Pub22592,Article,5,2002,4.5299
Pub23950,Article,15,2008,6.984
Pub35792,Article,5,2000,4.049
Pub76919,Article,9,1998,3.6349
Pub81369,Article,14,2006,4.9552
Pub82379,Article,30,2010,6.7825
Pub45222,Article,16,2009,7.0711
Pub51567,Article,6,1998,3.6865
Pub02988,Article,8,1996,4.4036
Pub22745,Article,57,2008,8.7428
Pub94798,Article,8,2011,9.4186
Pub80771,Article,7,2002,4.9843
Pub32033,Article,2,2006,5.149
Pub59726,Article,4,1994,4.214
Pub17374,Article,2,1996,3.8987
Pub33294,Article,4,1998,4.0057
Pub56152,Article,2,2002,4.6622
Pub76388,Article,7,2002,4.2942
Pub36522,Article,11,2004,4.612
Pub64557,Article,8,2005,5.4637
Pub87804,Article,6,1998,3.3771
Pub22786,Article,3,1996,9.9419
Pub32908,Article,7,2001,4.0272
Pub47063,Article,4,2000,4.1863
Pub78217,Article,7,1999,3.8674
Pub76188,Article,3,1998,7.6915
Pub59378,Article,7,2011,10.2158
Pub10938,Review,11,2010,6.2615
Pub49842,Article,3,1996,5.1223
Pub08631,Article,8,2000,4.1339
Pub51875,Article,102,2013,16.7757
Pub56530,Article,4,2000,7.0744
Pub03295,Article,4,1998,6.2714
Pub62056,Article,6,2012,29.1113
Pub98948,Article,10,1999,3.8656
Pub74422,Article,5,1998,7.4709
Pub80751,Article,3,2004,4.2959
Pub82002,Article,5,1999,11.6097
Pub23023,Article,10,2000,3.8791
Pub13069,Article,137,2014,30.1721
Pub79442,Article,2,2005,6.0327
Pub71253,Article,6,2001,3.5171
Pub87103,Article,2,2003,7.7412
Pub32682,Article,6,2002,3.9031
Pub70479,Article,2,2010,8.5922
Pub15026,Article,12,2003,4.2492
Pub90384,Article,7,2003,4.2638
Pub10703,Article,3,2004,5.8733
Pub85131,Article,6,2002,4.9181
Pub45348,Article,7,1996,3.9333
Pub51608,Article,4,2004,3.7367
Pub16976,Article,4,2009,6.6093
Pub58508,Review,3,2001,2.6509
Pub24500,Article,11,2000,4.0654
Pub44285,Article,7,2000,3.4325
Pub38534,Article,6,1998,3.3256
Pub48882,Article,2,1995,4.5127
Pub50635,Article,4,2000,4.0348
Pub60956,Article,9,2007,5.0244
Pub30886,Article,8,2007,4.5341
Pub24637,Article,4,2000,3.8021
Pub80954,Article,16,2013,14.2992
Pub20933,Article,5,1999,4.045
Pub51934,Article,3,2002,4.6062
Pub60930,Article,9,2004,5.2304
Pub22638,Article,7,2010,9.4826
Pub64942,Article,6,2007,4.9124
Pub01503,Article,14,2010,5.4316
Pub47764,Article,7,2003,3.3005
Pub59840,Article,91,2013,12.0679
Pub98088,Article,6,2000,6.4769
Pub62158,Article,6,2002,3.8671
Pub09707,Article,4,1997,3.8399
Pub07681,Article,3,1998,4.2512
Pub59991,Article,5,1995,3.7528
Pub55757,Article,4,1999,6.1975
Pub76211,Article,7,1998,3.7911
Pub03998,Article,3,1996,5.4892
Pub16952,Article,4,2006,4.545
Pub74626,Article,9,2006,4.7568
Pub87168,Review,3,2004,1.8579
Pub35589,Article,15,2009,6.9591
Pub14079,Article,7,1998,3.5534
Pub44028,Article,7,1996,4.0117
Pub74739,Article,5,2008,8.3565
Pub73418,Article,7,2009,6.2605
Pub17178,Article,4,2000,5.2335
Pub75581,Article,3,1997,8.5846
Pub55732,Review,3,1994,2.009
Pub18800,Article,8,2004,4.4274
Pub32615,Article,14,2013,15.7871
Pub93105,Article,5,2000,3.6724
Pub90831,Article,2,1999,6.9785
Pub60116,Article,3,1996,3.5044
Pub06562,Article,12,2009,7.3672
Pub64908,Article,5,2009,6.2247
Pub40308,Article,5,1999,3.8942
Pub41541,Article,10,2000,3.0496
Pub59168,Review,4,2010,4.39
Pub44516,Article,6,1999,3.5597
Pub53479,Article,4,1998,3.4191
Pub68548,Article,2,2007,5.4304
Pub65874,Article,2,1997,3.3712
Pub51439,Article,14,2005,3.7228
Pub70142,Article,18,2003,4.151
Pub84110,Article,2,1997,5.4934
Pub18176,Article,12,2001,3.2889
Pub69748,Article,8,2002,3.3903
Pub78260,Article,7,2002,3.558
Pub79683,Article,6,2005,3.9219
Pub21244,Editorial Material,2,1998,11.9954
Pub71788,Article,13,2007,5.1114
Pub29518,Article,9,2009,7.3904
Pub80246,Article,3,2002,4.2146
Pub41953,Article,2,2007,4.4947
Pub42910,Article,2,2006,4.8404
Pub13297,Article,11,2014,20.4002
Pub83874,Article,4,1999,3.9884
Pub74459,Article,14,2009,6.3412
Pub19316,Article,6,1999,3.0999
Pub17941,Article,37,2014,31.4029
Pub86437,Article,4,1999,3.5958
Pub25397,Article,5,1999,2.9639
Pub25757,Review,1,2003,1.8338
Pub69405,Article,2,1999,7.641
Pub43098,Article,13,2014,15.1405
Pub04041,Article,6,2001,4.2571
Pub91362,Article,5,2002,7.5791
Pub62092,Article,7,1994,3.5891
Pub39701,Article,5,2000,3.4544
Pub96223,Article,16,2009,7.4856
Pub19604,Article,2,2004,3.2867
Pub26450,Article,75,2014,20.0892
Pub05524,Article,5,2004,3.8442
Pub77247,Article,3,1996,4.1802
Pub99830,Article,3,1998,4.0306
Pub17676,Article,7,2000,3.3853
Pub72367,Article,30,2014,18.6323
Pub34662,Article,8,2010,6.8345
Pub53825,Article,3,2007,4.4371
Pub63765,Article,9,2005,3.6237
Pub65819,Article,7,2002,3.3893
Pub97203,Article,9,2005,4.5261
Pub94498,Article,10,2012,8.8137
Pub70969,Review,2,1999,1.1536
Pub78914,Article,5,2003,3.2738
Pub06011,Article,6,2003,4.3044
Pub85241,Article,6,2006,3.7099
Pub60688,Article,3,2000,2.9176
Pub38560,Article,4,1996,3.0312
Pub82127,Article,11,2009,5.8394
Pub19398,Article,8,2000,3.2741
Pub81054,Article,4,2004,4.2231
Pub97179,Article,4,1995,8.8133
Pub15528,Article,3,2002,6.3211
Pub78637,Article,35,2014,19.6291
Pub85624,Article,5,1997,4.0731
Pub84042,Article,6,2003,3.8904
Pub47006,Article,6,2001,2.8593
Pub50505,Article,7,1997,3.2408
Pub25798,Article,4,2003,3.7305
Pub73951,Review,2,1998,1.7652
Pub25980,Article,7,1999,3.1271
Pub09159,Article,3,1999,2.8144
Pub50284,Article,5,2003,3.1795
Pub88133,Article,37,2015,32.0083
Pub89918,Article,4,1999,3.7057
Pub43710,Article,8,2006,3.5036
Pub14888,Article,3,2000,3.9747
Pub84138,Article,8,2001,2.8862
Pub67579,Article,4,2001,2.9558
Pub31067,Article,5,1996,3.1347
Pub53567,Article,12,2010,6.121
Pub14846,Article,4,1997,3.9373
Pub80306,Article,9,2015,26.8451
Pub72973,Article,6,1999,2.7192
Pub24890,Letter,8,2010,7.1962
Pub02345,Article,82,2015,40.8621
Pub33742,Article,15,2009,5.7039
Pub40280,Article,3,2007,4.6226
Pub48959,Article,6,2001,2.9842
Pub69540,Article,9,2003,3.6189
Pub03131,Article,3,1994,3.0771
Pub45401,Review,3,1999,1.4361
Pub52510,Article,8,2001,2.9936
Pub49522,Review,3,1998,1.6686
Pub41511,Article,8,2008,5.8727
Pub79393,Review,2,2005,1.9337
Pub84179,Article,6,2009,5.4677
Pub26647,Article,4,1999,3.0177
Pub60699,Article,16,2008,6.9883
Pub84446,Article,10,2012,8.2742
Pub87591,Article,5,2004,4.0996
Pub19576,Article,3,1998,3.0973
Pub82425,Article,75,2013,12.9298
Pub34612,Article,4,2005,3.0292
Pub96919,Article,8,2000,3.0014
Pub70017,Article,4,1996,3.3606
Pub32908,Article,2,2005,4.1086
Pub11142,Review,9,2004,2.1454
Pub38123,Article,98,2011,11.7617
Pub60072,Article,6,2005,4.3859
Pub86062,Article,8,1999,3.6064
Pub10028,Article,4,1999,3.3603
Pub92677,Article,9,2002,3.7652
Pub64939,Article,2,1998,3.2859
Pub67159,Article,35,2014,18.8093
Pub02502,Review,2,1994,1.6432
Pub08476,Article,3,1998,4.0878
Pub26040,Article,2,2000,2.7592
Pub86331,Article,5,2003,3.1502
Pub78578,Article,13,2012,10.1933
Pub36695,Article,9,2008,5.6832
Pub09407,Article,12,1998,4.0392
Pub50876,Article,10,2010,6.5299
Pub75443,Article,6,2003,3.077
Pub29198,Review,2,2001,1.2777
Pub49485,Article,5,1999,3.2504
Pub94865,Article,3,1997,3.0565
Pub47276,Article,4,2007,17.4168
Pub33086,Article,7,1999,3.0324
Pub52647,Article,10,1996,2.8242
Pub95644,Article,2,1993,7.6516
Pub61967,Article,2,1995,3.2257
Pub27068,Article,7,2005,4.5389
Pub94117,Review,4,2001,1.6727
Pub75469,Article,17,2010,6.6792
Pub25666,Article,5,2002,3.0519
Pub65488,Article,10,2003,3.2968
Pub77215,Article,10,2007,3.725
Pub35041,Article,3,1996,5.9807
Pub48057,Article,3,2001,2.7788
Pub10166,Article,4,1997,3.8016
Pub15311,Article,2,1996,3.3772
Pub61863,Article,3,2004,2.9163
Pub04633,Article,10,2014,20.5075
Pub52704,Article,5,2000,2.7182
Pub56404,Article,3,1993,2.959
Pub21183,Article,6,2007,3.8233
Pub94506,Article,8,2005,4.7098
Pub54054,Article,8,2010,4.8416
Pub85794,Article,3,1998,2.8614
Pub20417,Article,11,2013,16.4845
Pub47393,Article,7,1998,2.7181
Pub74125,Article,5,2004,3.2458
Pub98391,Article,29,2012,6.755
Pub62682,Article,10,2001,2.7385
Pub89672,Article,2,1999,2.6376
Pub07793,Article,50,2015,42.5577
Pub48014,Article,5,1994,2.8689
Pub24629,Article,6,2007,3.6032
Pub95148,Article,10,1997,4.2703
Pub45547,Article,29,2015,40.5171
Pub66931,Article,4,1994,2.971
Pub00150,Article,4,1996,2.6183
Pub21685,Article,3,2003,8.5976
Pub75483,Review,8,2008,2.0707
Pub00986,Article,10,2012,8.9154
Pub63376,Article,22,2007,3.9061
Pub14759,Article,5,2005,4.4691
Pub79438,Article,96,2015,32.9063
Pub06857,Article,4,1997,2.6429
Pub09309,Article,11,1999,2.8566
Pub85584,Article,52,2014,18.0153
Pub64239,Article,5,2006,3.971
Pub62292,Review,2,2000,1.4883
Pub50490,Article,4,2007,2.9838
Pub07593,Article,4,2003,3.4861
Pub50946,Article,7,2008,3.5406
Pub07882,Article,6,1996,3.1289
Pub34129,Article,4,1999,2.9152
Pub72598,Article,4,2001,2.7658
Pub83020,Article,54,2015,37.8124
Pub70362,Article,39,2007,4.3163
Pub42604,Article,4,1996,5.9098
Pub23072,Article,3,2002,2.9446
Pub97626,Article,5,1995,2.5885
Pub34527,Article,13,2000,2.7505
Pub50773,Article,8,2000,2.7465
Pub51678,Article,7,2007,3.891
Pub17963,Article,3,2009,5.1779
Pub41319,Article,7,1999,2.754
Pub68891,Article,6,2001,3.1191
Pub24791,Article,5,2008,3.9783
Pub58950,Article,2,2000,4.0934
Pub81834,Article,17,2005,3.7237
Pub98084,Article,7,2002,3.1044
Pub95477,Article,26,2013,11.0843
Pub27832,Article,9,2004,2.7657
Pub67702,Article,5,2007,3.3496
Pub56215,Review,8,2004,1.3331
Pub80303,Article,2,1997,3.3415
Pub29914,Article,7,2013,11.9283
Pub37978,Article,5,2007,4.8981
Pub10663,Article,4,2004,5.0118
Pub40821,Article,4,1997,2.734
Pub09811,Article,7,2005,3.3065
Pub14241,Article,6,2007,5.4012
Pub91668,Article,7,2001,3.1585
Pub66171,Article,7,2005,3.2121
Pub07260,Review,3,2001,1.2267
Pub50982,Article,6,2002,3.7305
Pub85393,Article,3,2002,2.5641
Pub66749,Article,3,1994,2.4013
Pub02984,Article,5,2008,4.0172
Pub98048,Article,2,2001,3.4425
Pub49496,Article,7,2000,2.5625
Pub61684,Article,8,2009,4.3371
Pub85552,Article,9,2002,2.8674
Pub69700,Article,2,2001,2.9055
Pub90467,Article,5,1997,2.6879
Pub37259,Article,6,1997,2.6572
Pub72202,Article,4,1998,2.5608
Pub33950,Article,3,1996,2.6797
Pub04212,Article,5,1994,2.8649
Pub88777,Article,3,1996,2.632
Pub57035,Article,2,1997,2.702
Pub08297,Article,7,1998,2.8143
Pub17170,Review,2,1999,0.9176
Pub00529,Article,2,2001,2.7445
Pub61881,Article,12,2004,2.5503
Pub54820,Article,11,2001,2.8132
Pub44468,Article,2,1995,2.8079
Pub58464,Article,3,2002,2.7672
Pub27256,Review,2,1999,1.3068
Pub00487,Article,2,2004,3.0096
Pub86451,Article,4,2000,2.7328
Pub27798,Article,7,1999,2.4745
Pub99530,Article,48,2013,6.8662
Pub98553,Article,5,1997,3.0786
Pub63094,Article,5,1999,2.7165
Pub78323,Article,6,2009,7.3991
Pub93641,Article,6,2005,3.3666
Pub68064,Article,7,1999,2.4757
Pub12583,Article,2,2004,2.9466
Pub87005,Article,4,1995,2.8079
Pub47814,Article,4,2000,3.2646
Pub67740,Article,9,2001,2.6695
Pub41253,Article,7,2007,2.8668
Pub77233,Article,3,1998,3.7752
Pub82404,Article,5,2002,3.4445
Pub76585,Article,2,2004,2.891
Pub32631,Article,7,2002,2.6211
Pub59632,Article,8,2004,2.523
Pub21592,Article,3,2001,2.7812
Pub32111,Article,6,1999,2.4025
Pub89530,Article,21,2009,5.0481
Pub13627,Article,7,2003,3.545
Pub18251,Article,15,2011,7.5424
Pub18417,Article,7,2004,2.6184
Pub12591,Article,6,2004,3.635
Pub86813,Article,11,2007,11.6655
Pub94453,Article,13,2014,12.0105
Pub01521,Article,2,2001,2.9258
Pub20525,Article,10,2009,3.1906
Pub14866,Review,9,1997,1.3647
Pub20778,Article,10,2006,5.1757
Pub41728,Article,201,2011,29.5795
Pub32225,Article,8,1996,2.9799
Pub89983,Article,2,2007,14.5411
Pub95122,Article,10,2001,2.9515
Pub91708,Article,4,1999,2.3793
Pub35952,Article,12,2005,2.9644
Pub94565,Article,8,2012,6.0494
Pub15490,Article,3,1997,2.7891
Pub24789,Article,4,1997,2.5567
Pub70265,Article,8,2004,2.9188
Pub63831,Article,6,2011,5.3127
Pub58521,Article,23,2010,4.7919
Pub24846,Article,9,2001,2.7853
Pub53122,Article,4,2001,2.3089
Pub95591,Article,6,2003,2.5121
Pub09412,Article,107,2003,3.3784
Pub30825,Article,9,2007,3.6752
Pub07047,Article,8,2013,12.1906
Pub41248,Article,2,1999,2.1706
Pub23956,Article,4,2002,2.4501
Pub18581,Article,4,1999,2.4473
Pub68206,Article,13,2001,2.6716
Pub07300,Article,2,1998,3.1395
Pub79723,Article,5,2007,4.3976
Pub02463,Article,2,2002,2.1572
Pub61261,Article,5,2001,2.2687
Pub45367,Article,10,2010,4.9409
Pub28566,Article,5,2000,2.4351
Pub44294,Review,2,2013,4.9415
Pub92489,Article,2,1994,2.5585
Pub75263,Article,11,1999,2.5343
Pub25144,Article,5,2005,4.3116
Pub94177,Article,10,1998,2.2944
Pub98066,Article,4,1997,2.2516
Pub11877,Article,5,1998,2.3891
Pub95726,Review,2,2008,1.7478
Pub56292,Article,7,2006,2.7074
Pub25429,Article,5,2003,2.1513
Pub93408,Article,88,2016,50.6171
Pub58914,Article,3,1997,2.4729
Pub82181,Article,11,1999,4.241
Pub15698,Article,5,2006,3.7136
Pub59038,Article,3,2008,4.7672
Pub08425,Article,4,2005,2.4818
Pub78143,Review,3,2001,1.3463
Pub83896,Article,10,2010,6.1796
Pub67071,Article,2,2008,4.3208
Pub32641,Review,4,2006,1.7088
Pub38105,Article,6,2006,3.2907
Pub06521,Article,8,2000,2.3643
Pub46193,Article,11,2005,3.1724
Pub19919,Article,10,2007,3.2819
Pub02640,Article,15,2009,4.2655
Pub58160,Article,6,2005,3.6908
Pub64879,Article,7,2003,2.6374
Pub53457,Article,6,2009,4.5355
Pub95784,Article,6,1998,2.2174
Pub11619,Article,7,1996,2.4446
Pub29331,Article,9,2008,3.3995
Pub88283,Review,3,2003,1.0047
Pub98839,Article,6,1997,2.2516
Pub86713,Article,6,2007,2.6766
Pub06889,Article,4,2001,2.43
Pub65943,Article,20,2014,8.072
Pub08294,Article,4,2005,3.3018
Pub97607,Article,4,1996,2.6819
Pub85300,Article,5,1998,2.4998
Pub11856,Article,9,2004,4.3334
Pub83098,Article,4,1999,2.4171
Pub13062,Article,2,1998,2.0444
Pub60150,Article,4,2007,3.992
Pub01126,Article,5,2012,8.1523
Pub23576,Article,2,2004,2.6743
Pub95872,Article,7,2006,2.6605
Pub34091,Article,11,2013,10.08
Pub44647,Review,2,1997,1.2964
Pub42809,Article,6,1996,2.3806
Pub35480,Review,3,2003,1.3528
Pub97425,Article,8,2011,5.2246
Pub12249,Article,6,2003,3.1582
Pub97444,Article,6,2010,5.4504
Pub92149,Article,8,2008,4.2317
Pub90242,Review,2,2005,1.6495
Pub44515,Article,6,2005,2.7397
Pub04270,Article,3,2004,2.6263
Pub95149,Article,4,1998,2.3426
